Date,S&P500 Price,S&P500 Return,Dow Jones Price,Dow Jones Return
2016-12-15,2262.03,1.5968022024565864,19852.2402,1.5914232367827874
2016-12-16,2258.0701,1.5940068473810534,19843.4102,1.5907153938875158
2016-12-19,2262.53,1.597155160242835,19883.0605,1.5938938970755545
2016-12-20,2270.76,1.6029648454044898,19974.6191,1.601233546510549
2016-12-21,2265.1799,1.5990257659183964,19941.9609,1.5986155538896707
2016-12-22,2260.96,1.596046872794014,19918.8809,1.5967653824261527
2016-12-23,2263.79,1.598044613864182,19933.8105,1.5979621900466787
2016-12-27,2268.8799,1.601637653536637,19945.0391,1.5988623128930939
2016-12-28,2249.9199,1.5882534942820838,19833.6797,1.5899353638430722
2016-12-29,2249.26,1.587787660595793,19819.7793,1.5888210604023665
2016-12-30,2238.8301,1.580425031766201,19762.5996,1.5842373407649089
2017-01-03,2257.8301,1.593837427643654,19881.7598,1.5937896285303814
2017-01-04,2270.75,1.6029577862487647,19942.1602,1.5986315304569445
2017-01-05,2269.0,1.601722433996894,19899.2891,1.5951948369634599
2017-01-06,2276.98,1.6073556402654243,19963.8008,1.6003663147105587
2017-01-09,2268.8999,1.601651771848087,19887.3809,1.5942402350647653
2017-01-10,2268.8999,1.601651771848087,19855.5293,1.5916869022490203
2017-01-11,2275.3201,1.6061838910066357,19954.2793,1.599603038818449
2017-01-12,2270.4399,1.6027388818297332,19891.0,1.5945303544557368
2017-01-13,2274.6399,1.605703727234223,19885.7305,1.5941079333757104
2017-01-17,2267.8899,1.6009387971198648,19826.7695,1.5893814186590511
2017-01-18,2271.8899,1.6037624594098547,19804.7207,1.5876139117021704
2017-01-19,2263.6899,1.5979739517153748,19732.4004,1.5818164699650354
2017-01-20,2271.3101,1.6033531695609207,19827.25,1.5894199371767386
2017-01-23,2265.2,1.5990399548214034,19799.8496,1.5872234277240098
2017-01-24,2280.0701,1.6095369899759988,19912.7109,1.596270774196954
2017-01-25,2298.3701,1.6224552449527039,20068.5098,1.608760145030035
2017-01-26,2296.6799,1.6212621064520685,20100.9102,1.6113574715242538
2017-01-27,2294.6899,1.6198573344627982,20093.7793,1.6107858342760215
2017-01-30,2280.8999,1.6101227587180573,19971.1309,1.6009539205097238
2017-01-31,2278.8701,1.608689891289002,19864.0898,1.5923731411057558
2017-02-01,2279.55,1.6091698432867432,19890.9395,1.5945255045695348
2017-02-02,2280.8501,1.6100876041225471,19884.9102,1.5940421753318834
2017-02-03,2297.4199,1.6217844839757165,20071.4609,1.608996715264263
